"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30"
"1376","belgium","antwerp","2020-05-27",31198633,"Nieuw - Kwartier West",51.1869,4.42417,"Townhouse","Private room",3,2,2,60,1,14,15
"1377","belgium","antwerp","2020-05-27",31200155,"Historisch Centrum",51.21993,4.40066,"Apartment","Entire home/apt",2,1,1,89,2,1125,29
"1378","belgium","antwerp","2020-05-27",31201246,"Zuid",51.20925,4.38929,"Apartment","Entire home/apt",4,1,2,60,7,1125,26
"1379","belgium","antwerp","2020-05-27",31205637,"Amandus - Atheneum",51.22141,4.41895,"Apartment","Entire home/apt",6,2,3,349,4,1125,0
"1380","belgium","antwerp","2020-05-27",31216089,"Theaterbuurt-Meir",51.21971,4.41449,"Apartment","Entire home/apt",2,1,1,80,2,150,0
"1381","belgium","antwerp","2020-05-27",31250065,"Theaterbuurt-Meir",51.21971,4.41449,"Apartment","Entire home/apt",2,1,1,90,2,150,0
"1382","belgium","antwerp","2020-05-27",31260795,"Tentoonstellingswijk",51.18521,4.39118,"Apartment","Entire home/apt",5,3,3,111,3,1125,1
"1383","belgium","antwerp","2020-05-27",31273816,"Historisch Centrum",51.22054,4.40322,"Apartment","Entire home/apt",5,2,2,120,1,28,28
"1384","belgium","antwerp","2020-05-27",31277746,"Stuivenberg",51.22326,4.43167,"Apartment","Entire home/apt",4,1,1,38,1,1125,3
"1385","belgium","antwerp","2020-05-27",31298217,"Stadspark",51.20531,4.41191,"Apartment","Entire home/apt",5,2,2,80,2,1125,0
"1386","belgium","antwerp","2020-05-27",31324569,"Merksem - Heide",51.24996,4.46236,"Loft","Entire home/apt",2,0,1,85,2,120,0
"1387","belgium","antwerp","2020-05-27",31334058,"Eilandje",51.23047,4.41344,"Apartment","Entire home/apt",4,2,3,125,1,1125,0
"1388","belgium","antwerp","2020-05-27",31386225,"Borgerhout Intra Muros Zuid",51.21435,4.43105,"Apartment","Entire home/apt",5,2,4,55,2,1125,1
"1389","belgium","antwerp","2020-05-27",31398550,"Historisch Centrum",51.22564,4.40199,"Apartment","Entire home/apt",2,1,1,80,1,1125,0
"1390","belgium","antwerp","2020-05-27",31438714,"Sint-Andries",51.21295,4.39295,"Apartment","Entire home/apt",2,1,1,75,1,1125,28
"1391","belgium","antwerp","2020-05-27",31441558,"Historisch Centrum",51.21936,4.40154,"Apartment","Entire home/apt",2,1,1,75,1,4,27
"1392","belgium","antwerp","2020-05-27",31442273,"Centraal Station",51.21764,4.42054,"Apartment","Entire home/apt",2,1,1,50,2,5,29
"1393","belgium","antwerp","2020-05-27",31447213,"Kiel",51.18394,4.38094,"Apartment","Shared room",2,1,2,50,5,120,29
"1394","belgium","antwerp","2020-05-27",31462463,"Zuid",51.21165,4.39261,"Apartment","Private room",2,1,1,60,1,1125,20
"1395","belgium","antwerp","2020-05-27",31463408,"Zuid",51.21168,4.39215,"Apartment","Entire home/apt",2,1,1,50,1,1125,20
"1396","belgium","antwerp","2020-05-27",31555349,"Historisch Centrum",51.22126,4.40092,"Apartment","Entire home/apt",4,1,2,52,3,1125,0
"1397","belgium","antwerp","2020-05-27",31561396,"Leugenberg",51.30268,4.41292,"House","Private room",2,1,1,30,2,1125,0
"1398","belgium","antwerp","2020-05-27",31587335,"Theaterbuurt-Meir",51.21605,4.41392,"Apartment","Entire home/apt",7,1,3,60,1,1125,0
"1399","belgium","antwerp","2020-05-27",31621525,"Borgerhout Intra Muros Zuid",51.21533,4.43121,"Townhouse","Entire home/apt",6,3,4,167,3,1125,0
"1400","belgium","antwerp","2020-05-27",31642830,"Amandus - Atheneum",51.22514,4.42025,"House","Private room",2,1,1,25,5,5,0
"1401","belgium","antwerp","2020-05-27",31681385,"Haringrode",51.20021,4.41909,"Apartment","Entire home/apt",2,1,1,75,1,1125,1
"1402","belgium","antwerp","2020-05-27",31682997,"Stuivenberg",51.22501,4.43094,"Apartment","Entire home/apt",4,1,3,41,2,125,23
"1403","belgium","antwerp","2020-05-27",31688621,"Stadspark",51.21288,4.41138,"Apartment","Private room",2,1,1,70,3,180,0
"1404","belgium","antwerp","2020-05-27",31712292,"Eilandje",51.22725,4.41198,"Apartment","Entire home/apt",3,1,1,32,2,365,30
"1405","belgium","antwerp","2020-05-27",31730627,"Hoboken - Noord",51.18335,4.36646,"Apartment","Entire home/apt",2,0,1,55,7,1125,0
"1406","belgium","antwerp","2020-05-27",31733155,"Borgerhout Intra Muros Noord",51.21427,4.43767,"Loft","Entire home/apt",2,1,1,37,2,30,0
"1407","belgium","antwerp","2020-05-27",31847853,"Centraal Station",51.21425,4.4268,"Townhouse","Entire home/apt",7,4,6,190,2,15,27
"1408","belgium","antwerp","2020-05-27",31865883,"Eilandje",51.23093,4.41006,"Apartment","Entire home/apt",3,2,3,98,1,1125,22
"1409","belgium","antwerp","2020-05-27",31865973,"Eilandje",51.23115,4.41155,"Apartment","Entire home/apt",2,2,1,78,1,1125,22
"1410","belgium","antwerp","2020-05-27",31867290,"Centraal Station",51.21391,4.41655,"Apartment","Entire home/apt",3,2,3,75,10,365,25
"1411","belgium","antwerp","2020-05-27",31868869,"Linkeroever",51.23307,4.38484,"Apartment","Private room",2,1,1,23,1,7,30
"1412","belgium","antwerp","2020-05-27",31876188,"Stadspark",51.20787,4.41097,"Apartment","Private room",2,1,1,30,1,3,30
"1413","belgium","antwerp","2020-05-27",31892202,"Harmonie",51.20128,4.40822,"Apartment","Entire home/apt",2,2,2,55,27,180,0
"1414","belgium","antwerp","2020-05-27",31896403,"Stadspark",51.21116,4.40981,"Loft","Entire home/apt",2,0,1,74,1,1125,30
"1415","belgium","antwerp","2020-05-27",31899599,"Stadspark",51.20575,4.41024,"Apartment","Entire home/apt",4,2,2,55,3,7,0
"1416","belgium","antwerp","2020-05-27",31924772,"Stadspark",51.20522,4.41223,"Apartment","Entire home/apt",12,4,12,161,2,45,30
"1417","belgium","antwerp","2020-05-27",31926299,"Zuid",51.21048,4.39916,"House","Entire home/apt",8,4,5,250,2,1125,30
"1418","belgium","antwerp","2020-05-27",31943162,"Theaterbuurt-Meir",51.21857,4.40874,"Apartment","Entire home/apt",2,1,1,90,1,1125,0
"1419","belgium","antwerp","2020-05-27",31949372,"Harmonie",51.20693,4.40443,"Apartment","Entire home/apt",4,1,1,55,2,21,25
"1420","belgium","antwerp","2020-05-27",32006927,"Stadspark",51.20804,4.41266,"Apartment","Entire home/apt",2,1,1,90,1,21,0
"1421","belgium","antwerp","2020-05-27",32009201,"Stadspark",51.20814,4.41063,"Apartment","Private room",2,1,1,45,1,2,30
"1422","belgium","antwerp","2020-05-27",32036019,"Dam",51.23434,4.42323,"Apartment","Private room",2,1,1,270,1,5,0
"1423","belgium","antwerp","2020-05-27",32040640,"Amandus - Atheneum",51.227,4.41841,"Apartment","Entire home/apt",3,1,2,60,1,1125,10
"1424","belgium","antwerp","2020-05-27",32060256,"Historisch Centrum",51.22429,4.40338,"Apartment","Private room",2,1,1,35,1,1125,0
